coa_id,date,section_id,corridor,start_min,end_min,availability_status,capacity,possession_type,allowed_departments
COA-001,2026-10-01,S02,NDLS-KKDE,690,750,AVAILABLE,1,NIGHT,ENGINEERING|SNT|TRD
COA-002,2026-10-01,S03,NDLS-KKDE,710,800,AVAILABLE,1,NIGHT,ENGINEERING|SNT|TRD
COA-003,2026-10-01,S04,NDLS-KKDE,700,760,RESTRICTED,1,NIGHT,ENGINEERING|SNT|TRD
COA-004,2026-10-01,S05,NDLS-KKDE,840,920,AVAILABLE,1,NIGHT,ENGINEERING|SNT|TRD
COA-005,2026-10-01,S06,NDLS-KKDE,850,940,AVAILABLE,1,NIGHT,ENGINEERING|SNT|TRD
COA-006,2026-10-02,S02,NDLS-KKDE,690,790,AVAILABLE,1,NIGHT,ENGINEERING|SNT|TRD
COA-007,2026-10-02,S03,NDLS-KKDE,740,840,AVAILABLE,1,NIGHT,ENGINEERING|SNT|TRD
COA-008,2026-10-02,S04,NDLS-KKDE,690,790,AVAILABLE,1,NIGHT,ENGINEERING|SNT|TRD
COA-009,2026-10-02,S05,NDLS-KKDE,820,930,AVAILABLE,1,NIGHT,ENGINEERING|SNT|TRD
COA-010,2026-10-02,S06,NDLS-KKDE,820,960,AVAILABLE,1,NIGHT,ENGINEERING|SNT|TRD
COA-011,2026-10-03,S02,NDLS-KKDE,680,760,BLOCKED,1,NIGHT,ENGINEERING|SNT|TRD
COA-012,2026-10-03,S07,NDLS-KKDE,900,1020,AVAILABLE,1,NIGHT,ENGINEERING|SNT|TRD
COA-013,2026-10-03,S02,NDLS-KKDE,1020,1080,AVAILABLE,1,NIGHT,ENGINEERING|SNT|TRD
