forecast_id,date,section_id,start_min,end_min,expected_goods_trains,traffic_intensity,confidence,capacity_demand
GF-001,2026-10-01,S02,690,750,7,HIGH,0.90,0.85
GF-002,2026-10-01,S03,710,800,2,LOW,0.88,0.30
GF-003,2026-10-01,S04,700,760,5,HIGH,0.82,0.75
GF-004,2026-10-01,S05,840,920,1,LOW,0.91,0.20
GF-005,2026-10-01,S06,850,940,3,MEDIUM,0.86,0.50
GF-006,2026-10-02,S02,690,790,1,LOW,0.92,0.20
GF-007,2026-10-02,S03,740,840,5,HIGH,0.84,0.78
GF-008,2026-10-02,S04,690,790,2,LOW,0.87,0.25
GF-009,2026-10-02,S05,820,930,4,MEDIUM,0.89,0.55
GF-010,2026-10-02,S06,820,960,1,LOW,0.93,0.18
