id,section,department,duration,earliest_start,latest_end,priority,committed,defect_type,season,severity,urgency,overdue,weather_factor
M001,S02,Engineering,40,600,760,high,True,Rail Crack,Monsoon,5,5,True,1.3
M002,S02,Signalling,30,620,800,medium,False,Signal Fault,Monsoon,3,3,True,1.3
M003,S02,Traction,25,625,790,medium,False,Overhead Equipment,Monsoon,3,3,False,1.3
M004,S03,Engineering,35,650,820,high,False,Track Geometry,Monsoon,5,5,False,1.3
M005,S03,Signalling,25,660,830,low,False,Cable Inspection,Monsoon,2,2,False,1.3
M006,S04,Traction,30,580,760,high,False,Overhead Equipment,Monsoon,5,5,False,1.3
M007,S04,Engineering,45,590,780,medium,False,Switch Maintenance,Monsoon,3,3,False,1.3
M008,S05,Signalling,35,700,900,high,True,Signal Fault,Monsoon,5,5,True,1.3
M009,S05,Engineering,40,710,910,medium,False,Track Geometry,Monsoon,3,3,False,1.3
M010,S06,Traction,30,760,940,high,False,Electrical Inspection,Monsoon,5,5,False,1.3
M011,S06,Engineering,50,770,950,medium,False,Track Geometry,Monsoon,3,3,True,1.3
M012,S07,Signalling,25,800,980,low,False,Cable Inspection,Monsoon,2,2,False,1.3
M013,S07,Engineering,50,586,826,medium,False,Switch Maintenance,Monsoon,3,3,False,1.3
M014,S08,Engineering,35,839,1019,low,False,Signal Fault,Post-Monsoon,2,2,True,1.1
M015,S02,Engineering,20,939,1080,medium,False,Rail Crack,Winter,3,3,False,0.9
M016,S10,Traction,45,925,1080,medium,False,Rail Crack,Monsoon,3,3,False,1.3
M017,S03,Traction,40,808,958,high,False,Track Geometry,Monsoon,5,5,False,1.3
M018,S10,Engineering,25,819,1029,medium,False,Cable Inspection,Post-Monsoon,3,3,False,1.1
M019,S03,Signalling,20,899,1049,medium,False,Overhead Equipment,Monsoon,3,3,False,1.3
M020,S04,Signalling,40,670,820,high,False,Overhead Equipment,Post-Monsoon,5,5,False,1.1
M021,S08,Signalling,50,731,851,high,False,Cable Inspection,Monsoon,5,5,False,1.3
M022,S05,Signalling,20,731,941,medium,False,Switch Maintenance,Monsoon,3,3,False,1.3
M023,S09,Traction,20,823,943,low,True,Point Failure,Monsoon,2,2,True,1.3
M024,S08,Traction,30,768,948,low,False,Rail Crack,Post-Monsoon,2,2,False,1.1
M025,S09,Signalling,20,527,767,high,False,Point Failure,Winter,5,5,False,0.9
M026,S03,Engineering,50,941,1080,high,False,Switch Maintenance,Monsoon,5,5,True,1.3
M027,S09,Traction,50,825,975,medium,False,Electrical Inspection,Summer,3,3,False,1.0
M028,S04,Engineering,60,867,1080,low,False,Point Failure,Monsoon,2,2,False,1.3
M029,S07,Traction,30,565,775,high,False,Rail Crack,Monsoon,5,5,False,1.3
M030,S04,Signalling,45,810,960,low,False,Overhead Equipment,Monsoon,2,2,False,1.3
M031,S09,Traction,45,600,810,medium,False,Overhead Equipment,Winter,3,3,False,0.9
M032,S09,Signalling,40,704,884,medium,False,Point Failure,Monsoon,3,3,True,1.3
M033,S08,Engineering,35,592,712,medium,False,Switch Maintenance,Winter,3,3,False,0.9
M034,S01,Engineering,20,919,1039,medium,False,Signal Fault,Monsoon,3,3,False,1.3
M035,S05,Engineering,20,882,1032,medium,False,Overhead Equipment,Monsoon,3,3,False,1.3
M036,S04,Traction,30,663,843,low,False,Cable Inspection,Summer,2,2,False,1.0
M037,S06,Signalling,30,719,839,low,False,Electrical Inspection,Monsoon,2,2,False,1.3
M038,S04,Traction,35,882,1032,medium,False,Electrical Inspection,Monsoon,3,3,True,1.3
M039,S09,Engineering,60,607,757,high,False,Rail Crack,Monsoon,5,5,False,1.3
M040,S07,Traction,45,777,957,low,False,Electrical Inspection,Winter,2,2,False,0.9
M041,S01,Signalling,20,783,993,medium,False,Switch Maintenance,Monsoon,3,3,False,1.3
M042,S03,Traction,60,687,867,high,False,Rail Crack,Summer,5,5,True,1.0
M043,S01,Signalling,60,819,999,medium,False,Rail Crack,Monsoon,3,3,False,1.3
M044,S02,Signalling,45,642,882,low,False,Rail Crack,Winter,2,2,False,0.9
M045,S04,Traction,30,880,1000,medium,False,Overhead Equipment,Monsoon,3,3,False,1.3
M046,S06,Signalling,40,530,710,medium,False,Rail Crack,Winter,3,3,False,0.9
M047,S01,Engineering,35,796,976,medium,False,Electrical Inspection,Monsoon,3,3,False,1.3
M048,S05,Signalling,30,859,979,high,False,Overhead Equipment,Post-Monsoon,5,5,True,1.1
M049,S03,Engineering,35,670,910,medium,False,Electrical Inspection,Winter,3,3,False,0.9
M050,S02,Engineering,25,702,852,high,True,Track Geometry,Summer,5,5,True,1.0
M051,S06,Traction,25,606,786,medium,False,Electrical Inspection,Summer,3,3,False,1.0
M052,S06,Traction,40,649,799,high,False,Cable Inspection,Monsoon,5,5,False,1.3
M053,S07,Engineering,35,652,862,medium,False,Electrical Inspection,Monsoon,3,3,True,1.3
M054,S03,Traction,50,571,721,low,False,Overhead Equipment,Monsoon,2,2,False,1.3
M055,S10,Traction,45,604,754,high,False,Track Geometry,Post-Monsoon,5,5,False,1.1
M056,S06,Traction,35,580,700,high,False,Signal Fault,Summer,5,5,False,1.0
M057,S04,Signalling,40,959,1080,medium,False,Electrical Inspection,Summer,3,3,False,1.0
M058,S02,Signalling,45,626,746,medium,False,Track Geometry,Monsoon,3,3,False,1.3
M059,S05,Signalling,40,797,917,medium,True,Track Geometry,Monsoon,3,3,True,1.3
M060,S02,Signalling,45,527,647,medium,False,Electrical Inspection,Winter,3,3,False,0.9
M061,S05,Signalling,40,726,906,low,False,Cable Inspection,Monsoon,2,2,False,1.3
M062,S05,Traction,20,573,783,low,True,Track Geometry,Winter,2,2,True,0.9
M063,S07,Engineering,45,701,941,medium,False,Cable Inspection,Post-Monsoon,3,3,False,1.1
M064,S04,Traction,25,729,909,medium,False,Cable Inspection,Summer,3,3,False,1.0
M065,S08,Traction,25,955,1080,high,False,Point Failure,Summer,5,5,False,1.0
M066,S01,Engineering,30,906,1080,medium,False,Electrical Inspection,Post-Monsoon,3,3,False,1.1
M067,S02,Engineering,30,721,901,medium,False,Cable Inspection,Post-Monsoon,3,3,False,1.1
M068,S10,Signalling,25,594,714,medium,False,Track Geometry,Summer,3,3,False,1.0
M069,S08,Engineering,40,728,938,low,False,Electrical Inspection,Winter,2,2,False,0.9
M070,S03,Signalling,20,575,815,low,False,Switch Maintenance,Summer,2,2,True,1.0
M071,S09,Signalling,20,848,1058,high,False,Point Failure,Monsoon,5,5,False,1.3
M072,S04,Engineering,20,882,1080,medium,False,Switch Maintenance,Post-Monsoon,3,3,False,1.1
M073,S03,Signalling,50,623,863,low,False,Signal Fault,Summer,2,2,False,1.0
M074,S04,Engineering,50,623,743,low,False,Track Geometry,Monsoon,2,2,True,1.3
M075,S10,Engineering,30,694,934,medium,False,Signal Fault,Summer,3,3,False,1.0
M076,S10,Engineering,40,709,949,low,False,Point Failure,Summer,2,2,False,1.0
M077,S05,Engineering,40,901,1080,medium,False,Overhead Equipment,Post-Monsoon,3,3,False,1.1
M078,S07,Engineering,40,611,821,medium,False,Cable Inspection,Monsoon,3,3,False,1.3
M079,S07,Traction,25,825,1005,low,False,Cable Inspection,Monsoon,2,2,False,1.3
M080,S10,Engineering,50,840,960,medium,False,Rail Crack,Monsoon,3,3,False,1.3
M081,S01,Engineering,60,896,1080,high,True,Electrical Inspection,Winter,5,5,True,0.9
M082,S05,Signalling,40,682,892,low,False,Signal Fault,Monsoon,2,2,False,1.3
M083,S09,Engineering,45,622,742,medium,False,Electrical Inspection,Summer,3,3,False,1.0
M084,S10,Signalling,35,887,1080,medium,False,Signal Fault,Winter,3,3,False,0.9
M085,S10,Signalling,35,699,939,high,False,Overhead Equipment,Monsoon,5,5,False,1.3
