scenario_id,train_delay,maintenance_overrun,traffic_factor,asset_risk
SC0001,8.37,2.36,1.127,0.41
SC0002,11.34,7.33,1.045,0.513
SC0003,7.35,6.91,0.755,0.103
SC0004,6.58,5.06,0.853,0.341
SC0005,12.32,1.84,1.18,0.337
SC0006,7.01,5.52,1.048,0.277
SC0007,9.38,4.72,0.909,0.403
SC0008,8.76,0.0,0.98,0.295
SC0009,12.31,0.0,1.002,0.282
SC0010,5.76,7.26,1.088,0.161
SC0011,15.18,0.0,0.837,0.16
SC0012,4.69,5.82,0.899,0.173
SC0013,9.81,3.09,1.033,0.148
SC0014,9.03,10.23,0.988,0.542
SC0015,4.36,3.03,1.069,0.148
SC0016,10.38,7.64,0.852,0.18
SC0017,6.1,3.41,1.043,0.139
SC0018,3.25,5.45,1.131,0.21
SC0019,11.29,7.95,1.058,0.042
SC0020,2.26,3.15,1.017,0.407
SC0021,3.79,8.99,0.988,0.039
SC0022,7.29,1.03,0.9,0.217
SC0023,12.26,6.18,0.991,0.451
SC0024,10.82,8.69,1.151,0.453
SC0025,8.27,7.64,0.986,0.296
SC0026,1.62,12.67,0.893,0.123
SC0027,4.52,1.95,0.941,0.121
SC0028,5.34,0.0,1.024,0.326
SC0029,3.12,1.02,0.955,0.313
SC0030,1.21,7.64,1.058,0.16
SC0031,7.54,6.99,1.063,0.163
SC0032,11.06,5.41,1.107,0.111
SC0033,5.02,0.51,1.171,0.416
SC0034,12.15,8.07,1.12,0.76
SC0035,2.01,0.1,0.888,0.585
SC0036,2.96,9.64,0.892,0.113
SC0037,7.43,16.43,0.991,0.498
SC0038,4.69,6.47,0.946,0.08
SC0039,10.45,7.33,0.863,0.102
SC0040,9.31,3.03,0.947,0.444
SC0041,4.96,0.0,0.943,0.167
SC0042,2.2,2.59,0.919,0.149
SC0043,4.52,0.63,0.962,0.556
SC0044,9.47,0.0,1.141,0.102
SC0045,10.73,11.89,1.024,0.513
SC0046,4.71,6.09,1.297,0.291
SC0047,1.2,6.52,1.02,0.576
SC0048,1.9,3.76,0.965,0.599
