id,route,departure,arrival,priority,rake_id
T001,"S01,S02,S03,S04,S05",480,620,high,R01
T002,"S08,S04,S05",500,625,medium,R02
T003,"S01,S02,S03,S09,S06,S07",525,690,high,R03
T004,"S10,S07",545,650,medium,R04
T005,"S01,S02,S03,S04,S05,S06",570,735,high,R05
T006,"S08,S04,S05,S06",600,720,low,R06
T007,"S01,S02,S03,S09,S06,S07",625,790,medium,R07
T008,"S10,S07",650,750,high,R08
T009,"S01,S02,S03,S04,S05",680,820,medium,R09
T010,"S08,S04,S05,S06,S07",700,835,low,R10
T011,"S01,S02,S03,S09,S06",730,850,high,R11
T012,"S10,S07",755,850,medium,R12
T013,"S01,S02,S03,S04,S05,S06,S07",790,945,high,R13
T014,"S08,S04,S05",815,930,low,R14
T015,"S01,S02,S03,S09,S06,S07",840,980,medium,R15
T016,"S10,S07",860,950,high,R16
T017,"S01,S02,S03,S04,S05",900,1040,medium,R17
T018,"S08,S04,S05,S06",920,1045,low,R18
T019,"S01,S02,S03,S09,S06,S07",950,1090,high,R19
T020,"S10,S07",975,1070,medium,R20
